,word,obj_score,neg_score,pos_score,lstm
0,definitely,0.75,0.0,0.25,0.6501412391662598
1,shallower,0.875,0.125,0.0,0.5093076825141907
5,too,0.625,0.25,0.125,0.31822699308395386
9,is,0.625,0.125,0.25,0.47094088792800903
1,had,0.75,0.0,0.25,0.4051397144794464
2,high,0.625,0.25,0.125,0.6857624053955078
3,hopes,0.625,0.125,0.25,0.8477404713630676
6,enjoyed,0.625,0.0,0.375,0.395008385181427
10,however,0.375,0.5,0.125,0.5713936686515808
14,have,0.75,0.0,0.25,0.42130574584007263
15,understood,0.625,0.0,0.375,0.2903045415878296
19,already,0.875,0.0,0.125,0.9836469292640686
25,noble,0.5,0.0,0.5,0.5851663947105408
28,despair,0.75,0.25,0.0,0.4768817722797394
31,break,0.625,0.125,0.25,0.723687469959259
33,overpowering,0.5,0.375,0.125,0.5093076825141907
35,rule,0.75,0.0,0.25,0.4708612561225891
39,suffering,0.625,0.375,0.0,0.35952916741371155
42,thoroughly,0.375,0.0,0.625,0.5267046689987183
43,corrupt,0.0,0.5,0.5,0.6522338390350342
47,comfortable,0.25,0.75,0.0,0.5089455246925354
49,luxurious,0.375,0.0,0.625,0.09575744718313217
61,feel,0.875,0.0,0.125,0.4025113880634308
65,regardless,0.625,0.375,0.0,0.5049309730529785
67,not,0.375,0.625,0.0,0.17783473432064056
69,actually,0.625,0.0,0.375,0.4042576551437378
70,oppressed,0.75,0.25,0.0,0.5539854764938354
73,dystopia,0.375,0.625,0.0,0.5093076825141907
82,modern,0.75,0.25,0.0,0.7085955739021301
86,been,0.625,0.125,0.25,0.438328355550766
87,several,0.5,0.5,0.0,0.7122840881347656
95,big,0.625,0.125,0.25,0.6218602657318115
101,casual,0.25,0.625,0.125,0.4639347195625305
108,realize,0.625,0.0,0.375,0.48665231466293335
112,strongly,0.875,0.0,0.125,0.5816235542297363
113,recommend,0.875,0.125,0.0,0.6809784173965454
3,good,0.25,0.0,0.75,0.8128080368041992
6,funny,0.5,0.0,0.5,0.8056860566139221
10,wants,0.75,0.25,0.0,0.8172970414161682
11,be,0.625,0.125,0.25,0.4559495449066162
13,giant,0.625,0.0,0.375,0.7563113570213318
17,still,0.875,0.125,0.0,0.48222845792770386
0,missing,0.75,0.25,0.0,0.8450192809104919
5,best,0.5,0.0,0.5,0.94621741771698
6,exploited,0.625,0.0,0.375,0.5093076825141907
11,heroine,0.5,0.0,0.5,0.5472956299781799
13,feels,0.875,0.0,0.125,0.6260088682174683
15,little,0.625,0.375,0.0,0.5498924851417542
1,know,0.375,0.0,0.625,0.3472791910171509
7,similar,0.375,0.25,0.375,0.5483741164207458
8,other,0.375,0.625,0.0,0.5060549378395081
13,dark,0.75,0.125,0.125,0.6086609363555908
18,get,0.875,0.0,0.125,0.41396424174308777
20,wrong,0.125,0.75,0.125,0.1553102731704712
21,beautifully,0.625,0.0,0.375,0.4419529438018799
36,score,0.75,0.125,0.125,0.5611634254455566
37,makes,0.5,0.0,0.5,0.6838280558586121
40,screams,0.875,0.0,0.125,0.5757017731666565
41,rumbles,0.625,0.375,0.0,0.5093076825141907
49,very,0.5,0.25,0.25,0.6441745758056641
50,naturally,0.625,0.25,0.125,0.5024933815002441
54,surprised,0.875,0.0,0.125,0.3785194754600525
60,love,0.375,0.0,0.625,0.8308575749397278
70,guess,0.625,0.25,0.125,0.41962870955467224
72,hurt,0.375,0.625,0.0,0.492843359708786
73,watch,0.875,0.0,0.125,0.609289288520813
80,like,0.875,0.0,0.125,0.46310386061668396
9,bad,0.375,0.625,0.0,0.08925167471170425
15,ability,0.5,0.0,0.5,0.26241397857666016
2,mere,0.625,0.125,0.25,0.020588742569088936
8,better,0.5,0.0,0.5,0.5697135925292969
0,hero,0.375,0.125,0.5,0.3552628755569458
1,villains,0.625,0.375,0.0,0.08090551942586899
3,equally,0.875,0.125,0.0,0.1890474259853363
6,loud,0.5,0.125,0.375,0.3410736322402954
10,exciting,0.625,0.0,0.375,0.12952134013175964
11,suspenseful,0.5,0.5,0.0,0.40048933029174805
0,never,0.375,0.625,0.0,0.1949741542339325
1,quite,0.375,0.625,0.0,0.590528130531311
6,an,0.875,0.125,0.0,0.47077056765556335
8,times,0.5,0.0,0.5,0.8053080439567566
9,disturbingly,0.625,0.0,0.375,0.305070161819458
10,different,0.375,0.0,0.625,0.5514237880706787
12,celluloid,0.875,0.125,0.0,0.1695951521396637
5,expecting,0.5,0.25,0.25,0.6307215094566345
26,boring,0.75,0.25,0.0,0.4860544204711914
30,surprise,0.375,0.25,0.375,0.7063108086585999
49,honestly,0.625,0.0,0.375,0.5903996825218201
58,favorites,0.75,0.0,0.25,0.518735945224762
76,rather,0.0,0.5,0.5,0.4653860628604889
79,virtually,0.875,0.125,0.0,0.15550248324871063
80,nothing,0.5,0.25,0.25,0.1494792103767395
81,amused,0.125,0.0,0.875,0.690581202507019
87,wasted,0.875,0.0,0.125,0.38331085443496704
94,bland,0.625,0.375,0.0,0.729282021522522
100,potential,0.75,0.25,0.0,0.49149826169013977
109,inclusion,0.875,0.0,0.125,0.20068420469760895
110,horror,0.375,0.25,0.375,0.5093076825141907
115,unnecessary,0.5,0.25,0.25,0.7010486721992493
116,granted,0.625,0.0,0.375,0.5933370590209961
134,nicely,0.75,0.0,0.25,0.35361772775650024
146,pure,0.5,0.125,0.375,0.6930444836616516
5,entertaining,0.125,0.25,0.625,0.535405158996582
6,completely,0.5,0.0,0.5,0.46331289410591125
7,endearing,0.625,0.0,0.375,0.3263963460922241
8,performance,0.875,0.0,0.125,0.40946292877197266
7,likely,0.5,0.0,0.5,0.5171145796775818
11,everyday,0.875,0.0,0.125,0.36610743403434753
18,century,0.875,0.0,0.125,0.5765030980110168
20,seemingly,0.375,0.125,0.5,0.4700166881084442
23,turmoils,0.375,0.625,0.0,0.5093076825141907
25,concerns,0.75,0.0,0.25,0.5819229483604431
30,rebellious,0.75,0.25,0.0,0.6116552948951721
35,various,0.5,0.375,0.125,0.42990851402282715
37,secret,0.5,0.375,0.125,0.5178655385971069
40,popinjays,0.875,0.125,0.0,0.5093076825141907
48,web,0.75,0.0,0.25,0.36090394854545593
56,old,0.625,0.0,0.375,0.5076290965080261
